日期,区域,街道,小区,布局,总面积,月租价格
20180827,洪山,卓刀泉,桂子花园二期,3室2厅,141平米,3200
20180827,洪山,卓刀泉,翡翠城,3室1厅,96平米,3000
20180827,洪山,卓刀泉,文泉书苑,1室0厅,25平米,1100
20180827,洪山,卓刀泉,桂子花园一期,2室1厅,95平米,2300
20180827,洪山,卓刀泉,桂子花园一期,2室2厅,96平米,2350
20180827,洪山,卓刀泉,阳光美墅,1室0厅,10平米,600
20180827,洪山,卓刀泉,凯乐桂园,1室1厅,600平米,48000
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3300
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,51平米,2600
20180827,洪山,卓刀泉,名都花园,1室0厅,15平米,900
20180827,洪山,卓刀泉,保利拉菲,3室2厅,91平米,3500
20180827,洪山,卓刀泉,绿汀雅境,4室2厅,128平米,4400
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3500
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,96平米,3000
20180827,洪山,卓刀泉,名都花园,4室2厅,180平米,4000
20180827,洪山,卓刀泉,学雅芳邻,1室1厅,50平米,1300
20180827,洪山,卓刀泉,南湖锦园,3室2厅,95平米,2800
20180827,洪山,卓刀泉,翡翠城,1室1厅,90平米,2700
20180827,洪山,卓刀泉,保利蓝海郡,4室2厅,188平米,5000
20180827,洪山,卓刀泉,鹿鸣苑,3室2厅,97平米,3000
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,128平米,3000
20180827,洪山,卓刀泉,城投瀚城,3室2厅,176平米,6000
20180827,洪山,卓刀泉,城投瀚城,4室2厅,202平米,4500
20180827,洪山,卓刀泉,保利拉菲,3室1厅,90平米,3400
20180827,洪山,卓刀泉,保利浅水湾,2室1厅,89平米,2900
20180827,洪山,卓刀泉,保利拉菲,4室2厅,126平米,4000
20180827,洪山,卓刀泉,翡翠城,3室1厅,96平米,3000
20180827,洪山,卓刀泉,保利拉菲,2室2厅,74平米,2800
20180827,洪山,卓刀泉,凯乐桂园,6室1厅,18平米,900
20180827,洪山,卓刀泉,学雅芳邻,1室0厅,15平米,800
20180827,洪山,卓刀泉,绿汀雅境,1室1厅,53平米,2200
20180827,洪山,卓刀泉,城投瀚城,4室1厅,9平米,1290
20180827,洪山,卓刀泉,城投瀚城,4室2厅,217平米,12000
20180827,洪山,卓刀泉,保利拉菲,1室0厅,15平米,1200
20180827,洪山,卓刀泉,南湖半岛,4室1厅,160平米,4500
20180827,洪山,卓刀泉,桂子花园二期,3室2厅,141平米,3200
20180827,洪山,卓刀泉,领秀城,3室2厅,165平米,4500
20180827,洪山,卓刀泉,文泉书苑,3室2厅,130平米,3000
20180827,洪山,卓刀泉,桂子花园一期,3室2厅,130平米,3000
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,10平米,650
20180827,洪山,卓刀泉,武汉大学珞桂小区,1室0厅,15平米,1200
20180827,洪山,卓刀泉,科技公寓,2室1厅,83平米,2000
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,15平米,800
20180827,洪山,卓刀泉,名都花园,4室2厅,143平米,5000
20180827,洪山,卓刀泉,枫景佳园,3室1厅,130平米,3800
20180827,洪山,卓刀泉,名都花园,3室2厅,108平米,3600
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,10平米,750
20180827,洪山,卓刀泉,阳光美墅,1室0厅,20平米,1200
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,45平米,2200
20180827,洪山,卓刀泉,bobo城,1室0厅,50平米,2600
20180827,洪山,卓刀泉,南湖半岛,2室2厅,79平米,3000
20180827,洪山,卓刀泉,湖北省电力职工医院,2室1厅,66平米,2300
20180827,洪山,卓刀泉,桂子花园一期,3室2厅,143平米,4000
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,95平米,3000
20180827,洪山,卓刀泉,绿汀雅境,1室1厅,52平米,2300
20180827,洪山,卓刀泉,枫景佳园,1室1厅,50平米,2100
20180827,洪山,卓刀泉,翡翠城,1室1厅,55平米,2100
20180827,洪山,卓刀泉,学雅芳邻,2室1厅,75平米,2500
20180827,洪山,卓刀泉,凯乐桂园,3室2厅,100平米,3800
20180827,洪山,卓刀泉,武汉大学珞桂小区,3室2厅,130平米,4000
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,94平米,5500
20180827,洪山,卓刀泉,保利拉菲,2室1厅,73平米,2500
20180827,洪山,卓刀泉,保利蓝海郡,1室0厅,25平米,1000
20180827,洪山,卓刀泉,领秀城,3室2厅,100平米,3600
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,25平米,1100
20180827,洪山,卓刀泉,南湖半岛,4室2厅,198平米,4000
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,126平米,3400
20180827,洪山,卓刀泉,城投瀚城,5室2厅,195平米,5000
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,98平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,110平米,4000
20180827,洪山,卓刀泉,名都花园,3室2厅,137平米,4000
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,10平米,650
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,97平米,3500
20180827,洪山,卓刀泉,凯乐桂园,2室2厅,80平米,3600
20180827,洪山,卓刀泉,绿汀雅境,3室1厅,126平米,3800
20180827,洪山,卓刀泉,城投瀚城,4室2厅,257平米,13000
20180827,洪山,卓刀泉,保利拉菲,2室1厅,87平米,3000
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,127平米,4500
20180827,洪山,卓刀泉,保利拉菲,1室1厅,12平米,1000
20180827,洪山,卓刀泉,领秀城,1室1厅,60平米,2500
20180827,洪山,卓刀泉,兰庭居,1室0厅,15平米,1300
20180827,洪山,卓刀泉,城投瀚城,1室0厅,20平米,900
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,94平米,3500
20180827,洪山,卓刀泉,名都花园,4室1厅,180平米,5500
20180827,洪山,卓刀泉,名都花园,3室2厅,143平米,4300
20180827,洪山,卓刀泉,保利拉菲,3室2厅,96平米,3500
20180827,洪山,卓刀泉,城投瀚城,2室2厅,90平米,3000
20180827,洪山,卓刀泉,南湖半岛,4室2厅,160平米,5000
20180827,洪山,卓刀泉,桂子花园一期,2室2厅,95平米,2600
20180827,洪山,卓刀泉,城投瀚城,1室0厅,25平米,1000
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,130平米,4800
20180827,洪山,卓刀泉,翡翠城,1室0厅,22平米,1200
20180827,洪山,卓刀泉,保利拉菲堂皇,4室2厅,206平米,8000
20180827,洪山,卓刀泉,领秀城,2室1厅,90平米,3200
20180827,洪山,卓刀泉,保利拉菲,3室2厅,92平米,3000
20180827,洪山,卓刀泉,名都花园,3室2厅,137平米,3700
20180827,洪山,卓刀泉,城投瀚城,6室2厅,102平米,8000
20180827,洪山,卓刀泉,南湖半岛,5室2厅,250平米,6000
20180827,洪山,卓刀泉,bobo城,1室1厅,49平米,2100
20180827,洪山,卓刀泉,城投瀚城,4室2厅,217平米,5000
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,97平米,3000
20180827,洪山,卓刀泉,桂子花园二期,4室2厅,160平米,3600
20180827,洪山,卓刀泉,桂子花园二期,3室2厅,140平米,3000
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,127平米,3500
20180827,洪山,卓刀泉,保利蓝海郡,4室2厅,188平米,8000
20180827,洪山,卓刀泉,保利拉菲,3室2厅,130平米,3800
20180827,洪山,卓刀泉,城投瀚城,3室2厅,140平米,3300
20180827,洪山,卓刀泉,领秀城,3室2厅,119平米,4500
20180827,洪山,卓刀泉,城投瀚城,1室0厅,16平米,1000
20180827,洪山,卓刀泉,城投瀚城,4室2厅,178平米,3300
20180827,洪山,卓刀泉,名都花园,4室2厅,164平米,4500
20180827,洪山,卓刀泉,保利拉菲,3室2厅,94平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,118平米,3200
20180827,洪山,卓刀泉,城投瀚城,5室2厅,195平米,5000
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,98平米,3500
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,127平米,4500
20180827,洪山,卓刀泉,保利拉菲,1室1厅,12平米,1000
20180827,洪山,卓刀泉,领秀城,1室1厅,60平米,2500
20180827,洪山,卓刀泉,兰庭居,1室0厅,15平米,1300
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,94平米,5500
20180827,洪山,卓刀泉,保利拉菲,2室1厅,73平米,2500
20180827,洪山,卓刀泉,保利蓝海郡,1室0厅,25平米,1000
20180827,洪山,卓刀泉,领秀城,3室2厅,100平米,3600
20180827,洪山,卓刀泉,城投瀚城,2室2厅,90平米,3000
20180827,洪山,卓刀泉,南湖半岛,4室2厅,160平米,5000
20180827,洪山,卓刀泉,武汉大学珞桂小区,3室2厅,130平米,4000
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,25平米,1100
20180827,洪山,卓刀泉,南湖半岛,4室2厅,198平米,4000
20180827,洪山,卓刀泉,城投瀚城,1室0厅,20平米,900
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,10平米,650
20180827,洪山,卓刀泉,万科翡翠云台,2室2厅,97平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,110平米,4000
20180827,洪山,卓刀泉,名都花园,3室2厅,137平米,4000
20180827,洪山,卓刀泉,名都花园,4室1厅,180平米,5500
20180827,洪山,卓刀泉,名都花园,3室2厅,143平米,4300
20180827,洪山,卓刀泉,保利拉菲,3室2厅,96平米,3500
20180827,洪山,卓刀泉,领秀城,3室1厅,104平米,3500
20180827,洪山,卓刀泉,保利拉菲,3室2厅,94平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,118平米,3200
20180827,洪山,卓刀泉,保利拉菲,3室2厅,130平米,3800
20180827,洪山,卓刀泉,城投瀚城,3室2厅,140平米,3300
20180827,洪山,卓刀泉,南湖锦园,2室1厅,90平米,2800
20180827,洪山,卓刀泉,学雅芳邻,3室2厅,106平米,3200
20180827,洪山,卓刀泉,文泉书苑,1室0厅,25平米,1100
20180827,洪山,卓刀泉,桂子花园一期,2室1厅,95平米,2300
20180827,洪山,卓刀泉,桂子花园一期,2室2厅,96平米,2350
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,51平米,2600
20180827,洪山,卓刀泉,名都花园,1室0厅,15平米,900
20180827,洪山,卓刀泉,凯乐桂园,1室1厅,600平米,48000
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3300
20180827,洪山,卓刀泉,名都花园,4室1厅,180平米,5500
20180827,洪山,卓刀泉,名都花园,3室2厅,143平米,4300
20180827,洪山,卓刀泉,保利拉菲,3室2厅,96平米,3500
20180827,洪山,卓刀泉,鹿鸣苑,3室2厅,97平米,3000
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,128平米,3000
20180827,洪山,卓刀泉,城投瀚城,3室2厅,176平米,6000
20180827,洪山,卓刀泉,城投瀚城,4室2厅,202平米,4500
20180827,洪山,卓刀泉,凯乐桂园,1室1厅,125平米,9000
20180827,洪山,卓刀泉,阳光美墅,1室0厅,10平米,1200
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,120平米,3500
20180827,洪山,卓刀泉,保利拉菲,3室2厅,91平米,3500
20180827,洪山,卓刀泉,绿汀雅境,4室2厅,128平米,4400
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3500
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,96平米,3000
20180827,洪山,卓刀泉,名都花园,4室2厅,180平米,4000
20180827,洪山,卓刀泉,领秀城,3室2厅,119平米,4500
20180827,洪山,卓刀泉,城投瀚城,1室0厅,16平米,1000
20180827,洪山,卓刀泉,城投瀚城,4室2厅,178平米,3300
20180827,洪山,卓刀泉,名都花园,4室2厅,164平米,4500
20180827,洪山,卓刀泉,城投瀚城,3室2厅,140平米,3300
20180827,洪山,卓刀泉,南湖锦园,2室1厅,90平米,2800
20180827,洪山,卓刀泉,领秀城,3室1厅,104平米,3500
20180827,洪山,卓刀泉,保利拉菲,3室2厅,94平米,3500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,118平米,3200
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,89平米,1000
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,90平米,1500
20180827,洪山,卓刀泉,桂子花园二期,5室1厅,150平米,3800
20180827,洪山,卓刀泉,保利蓝海郡,1室0厅,15平米,1200
20180827,洪山,卓刀泉,领秀城,3室2厅,102平米,4500
20180827,洪山,卓刀泉,万科翡翠云台,3室2厅,125平米,5000
20180827,洪山,卓刀泉,阳光美墅,1室0厅,10平米,600
20180827,洪山,卓刀泉,翡翠城,3室2厅,97平米,2500
20180827,洪山,卓刀泉,万科翡翠云台,2室1厅,94平米,4200
20180827,洪山,卓刀泉,南湖假日社区,1室1厅,33平米,1300
20180827,洪山,卓刀泉,保利拉菲,3室2厅,100平米,3000
20180827,洪山,卓刀泉,南湖锦园,4室1厅,126平米,4500
20180827,洪山,卓刀泉,绿汀雅境,4室2厅,97平米,4000
20180827,洪山,卓刀泉,桂子花园一期,3室1厅,112平米,2800
20180827,洪山,卓刀泉,建信小区,3室2厅,105平米,3200
20180827,洪山,卓刀泉,文泉书苑,4室1厅,35平米,900
20180827,洪山,卓刀泉,枫景佳园,1室0厅,17平米,1350
20180827,洪山,卓刀泉,南湖半岛,5室2厅,232平米,3500
20180827,洪山,卓刀泉,武汉大学珞桂小区,4室2厅,152平米,3600
20180827,洪山,卓刀泉,南湖半岛,5室2厅,250平米,5500
20180827,洪山,卓刀泉,绿汀雅境,3室2厅,118平米,3500
20180827,洪山,卓刀泉,建信小区,3室2厅,105平米,3000
20180827,洪山,卓刀泉,凯乐桂园,2室2厅,93平米,4500
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3500
20180827,洪山,卓刀泉,兰庭居,2室1厅,95平米,3000
20180827,洪山,卓刀泉,翡翠城,1室1厅,54平米,2500
20180827,洪山,卓刀泉,南湖假日社区,1室1厅,35平米,1600
20180827,洪山,卓刀泉,桂子花园二期,5室2厅,205平米,4500
20180827,洪山,卓刀泉,武汉大学珞桂小区,3室1厅,114平米,2700
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,90平米,1500
20180827,洪山,卓刀泉,武汉大学珞桂小区,3室1厅,114平米,2700
20180827,洪山,卓刀泉,保利浅水湾,3室1厅,117平米,2800
20180827,洪山,卓刀泉,领秀城,1室0厅,30平米,1500
20180827,洪山,卓刀泉,南湖锦园,2室2厅,90平米,2500
20180827,洪山,卓刀泉,领秀城,2室2厅,90平米,4000
20180827,洪山,卓刀泉,桂子花园二期,4室2厅,35平米,1100
20180827,洪山,卓刀泉,学雅芳邻,3室2厅,136平米,3600
20180827,洪山,卓刀泉,保利拉菲,2室1厅,74平米,2500
20180827,洪山,卓刀泉,城投瀚城,2室1厅,87平米,2800
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,51平米,2600
20180827,洪山,卓刀泉,城投瀚城,8室2厅,348平米,10000
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,45平米,2200
20180827,洪山,卓刀泉,保利拉菲,3室2厅,96平米,3000
20180827,洪山,卓刀泉,学雅芳邻,2室1厅,75平米,2400
20180827,洪山,卓刀泉,凯乐桂园,1室0厅,15平米,1300
20180827,洪山,卓刀泉,名都花园,4室2厅,146平米,4300
20180827,洪山,卓刀泉,名都花园,3室2厅,135平米,3800
20180827,洪山,卓刀泉,名都花园,3室2厅,138平米,3700
20180827,洪山,卓刀泉,学雅芳邻,1室1厅,30平米,1500
20180827,洪山,卓刀泉,名都花园,1室0厅,15平米,850
20180827,洪山,卓刀泉,城投瀚城,3室2厅,102平米,3200
20180827,洪山,卓刀泉,永利国际大厦,1室1厅,138平米,8556
20180827,洪山,卓刀泉,领秀城,1室1厅,60平米,2300
20180827,洪山,卓刀泉,保利拉菲,1室0厅,10平米,650
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,40平米,2400
20180827,洪山,卓刀泉,名都花园,3室2厅,147平米,4000
20180827,洪山,卓刀泉,城投瀚城,6室1厅,198平米,6800
20180827,洪山,卓刀泉,保利拉菲,3室2厅,93平米,3500
20180827,洪山,卓刀泉,凯乐桂园,3室2厅,123平米,4800
20180827,洪山,卓刀泉,领秀城,1室0厅,20平米,950
20180827,洪山,卓刀泉,保利拉菲,3室2厅,132平米,3000
20180827,洪山,卓刀泉,绿汀雅境,1室1厅,55平米,2100
20180827,洪山,卓刀泉,凯乐桂园,2室1厅,94平米,3800
20180827,洪山,卓刀泉,南湖半岛,2室2厅,79平米,2400
20180827,洪山,卓刀泉,保利拉菲,1室0厅,10平米,650
20180827,洪山,卓刀泉,城投瀚城摩卡公馆,1室1厅,40平米,2400
20180827,洪山,卓刀泉,绿汀雅境,1室1厅,55平米,2100
20180827,洪山,卓刀泉,领秀城,3室2厅,120平米,4000
20180827,洪山,卓刀泉,领秀城,2室1厅,88平米,3300
20180827,洪山,卓刀泉,永利国际大厦,1室0厅,138平米,8600
20180827,洪山,卓刀泉,名都花园,3室1厅,100平米,2800
20180827,洪山,卓刀泉,城投瀚城,2室2厅,99平米,2800
20180827,洪山,卓刀泉,桂子花园一期,3室2厅,130平米,2900
20180827,洪山,卓刀泉,城投瀚城,2室2厅,87平米,3200
20180827,洪山,卓刀泉,城投瀚城,4室2厅,186平米,3500
20180827,洪山,卓刀泉,保利拉菲,4室2厅,127平米,3500
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3990
20180827,洪山,卓刀泉,名都花园,3室2厅,133平米,3700
20180827,洪山,卓刀泉,名都花园,3室2厅,123平米,3700
20180827,洪山,卓刀泉,城投瀚城,3室1厅,86平米,3000
20180827,洪山,卓刀泉,城投瀚城,3室2厅,140平米,3800
20180827,洪山,卓刀泉,保利蓝海郡,2室2厅,90平米,2800
20180827,洪山,卓刀泉,桂子花园一期,2室1厅,95平米,2400
20180827,洪山,卓刀泉,保利蓝海郡,3室2厅,91平米,3500
20180827,洪山,卓刀泉,桂子花园二期,4室2厅,180平米,5500
20180827,洪山,卓刀泉,武汉警官职业学院武昌校区,3室2厅,139平米,4000
20180827,洪山,卓刀泉,桂子花园一期,3室2厅,135平米,3500
20180827,洪山,卓刀泉,翡翠城,3室2厅,134平米,3000
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,90平米,3200
20180827,洪山,卓刀泉,翡翠城,3室2厅,134平米,3000
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,90平米,3200
20180827,洪山,卓刀泉,保利浅水湾,3室2厅,113平米,3500
20180827,洪山,卓刀泉,保利蓝海郡,3室1厅,90平米,3000
20180827,洪山,卓刀泉,南湖锦园,2室2厅,80平米,2700
20180827,洪山,卓刀泉,南湖锦园,2室2厅,90平米,2500
20180827,江汉,前进江汉,万科金色家园三期,2室1厅,83平米,4000
20180827,江汉,前进江汉,时代美博城,2室1厅,68平米,3100
20180827,江汉,前进江汉,世纪江尚,3室2厅,160平米,8000
20180827,江汉,前进江汉,世纪江尚,1室1厅,35平米,2100
20180827,江汉,前进江汉,崇安鑫城,3室2厅,127平米,4500
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,7000
20180827,江汉,前进江汉,世纪江尚,4室1厅,185平米,7000
20180827,江汉,前进江汉,世纪江尚,4室2厅,12平米,1690
20180827,江汉,前进江汉,多闻社区维善里,2室1厅,47平米,2000
20180827,江汉,前进江汉,柏龙大厦,3室1厅,75平米,3000
20180827,江汉,前进江汉,紫晶城,1室1厅,43平米,2200
20180827,江汉,前进江汉,宝利金国际广场,1室0厅,33平米,2000
20180827,江汉,前进江汉,民权公寓,2室1厅,73平米,2500
20180827,江汉,前进江汉,安静社区红艳村,4室1厅,90平米,3000
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,7500
20180827,江汉,前进江汉,宝利金二期中央荣御,3室2厅,99平米,6000
20180827,江汉,前进江汉,世纪江尚,3室2厅,125平米,7200
20180827,江汉,前进江汉,世纪江尚,1室1厅,70平米,4800
20180827,江汉,前进江汉,万科金色家园三期,2室2厅,84平米,3600
20180827,江汉,前进江汉,宝利金国际广场,1室1厅,46平米,2400
20180827,江汉,前进江汉,世纪江尚,3室1厅,11平米,1830
20180827,江汉,前进江汉,永丰里,1室1厅,75平米,1500
20180827,江汉,前进江汉,舞台社区,2室1厅,70平米,2100
20180827,江汉,前进江汉,世纪江尚,4室2厅,18平米,2330
20180827,江汉,前进江汉,世纪江尚,4室1厅,185平米,9000
20180827,江汉,前进江汉,广益天下一期,4室1厅,100平米,4000
20180827,江汉,前进江汉,世纪江尚,2室1厅,89平米,5500
20180827,江汉,前进江汉,御庭园,2室2厅,90平米,3000
20180827,江汉,前进江汉,舞台社区,2室1厅,66平米,2800
20180827,江汉,前进江汉,景江华庭,1室1厅,47平米,2000
20180827,江汉,前进江汉,世纪江尚,1室1厅,35平米,2100
20180827,江汉,前进江汉,崇安鑫城,3室2厅,127平米,4500
20180827,江汉,前进江汉,万科金色家园三期,2室1厅,83平米,4000
20180827,江汉,前进江汉,民权公寓,2室1厅,73平米,2500
20180827,江汉,前进江汉,安静社区红艳村,4室1厅,90平米,3000
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,7500
20180827,江汉,前进江汉,宝利金二期中央荣御,3室1厅,153平米,7000
20180827,江汉,前进江汉,世纪江尚,4室2厅,20平米,1600
20180827,江汉,前进江汉,军谊大厦,3室2厅,140平米,6000
20180827,江汉,前进江汉,世纪江尚,4室1厅,185平米,7000
20180827,江汉,前进江汉,世纪江尚,4室2厅,12平米,1690
20180827,江汉,前进江汉,多闻社区维善里,2室1厅,47平米,2000
20180827,江汉,前进江汉,柏龙大厦,3室1厅,75平米,3000
20180827,江汉,前进江汉,紫晶城,1室1厅,43平米,2200
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,7000
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,10000
20180827,江汉,前进江汉,世纪江尚,2室1厅,89平米,5000
20180827,江汉,前进江汉,世纪江尚,4室2厅,185平米,1500
20180827,江汉,前进江汉,广益天下二期,2室2厅,87平米,3800
20180827,江汉,前进江汉,世纪江尚,3室1厅,125平米,6600
20180827,江汉,前进江汉,景江华庭,2室2厅,110平米,4000
20180827,江汉,前进江汉,宝利金二期中央荣御,1室0厅,58平米,4000
20180827,江汉,前进江汉,船舶广场,3室2厅,150平米,7500
20180827,江汉,前进江汉,茶麻宿舍,2室1厅,60平米,1800
20180827,江汉,前进江汉,世纪江尚,4室2厅,202平米,9000
20180827,江汉,前进江汉,俊华大厦,2室1厅,78平米,3800
20180827,江汉,前进江汉,世纪江尚,2室2厅,90平米,5000
20180827,江汉,前进江汉,世纪江尚,2室2厅,89平米,3500
20180827,江汉,前进江汉,宝利金二期中央荣御,3室2厅,99平米,6000
